reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
86686063-b3d7-49a8-9fc3-d11b8aa959a5,Kevin Checa,https://play-lh.googleusercontent.com/a/ACg8ocITvz-EzfIF6v6RATSDYYctOVIINdLhyEQUo7itpcyGukRK7A=mo,"One of the best AIs in terms of accuracy, speed, and understanding. But it is EXTRAORDINARILY inconsistent, especially with its guidelines. I guess it's like an actual person, as in it has moods. Sometimes it would be fine doing my prompts and the next day, with a very similar prompt, it would reject it. Overall, a good AI that does its job.",4,175,1.240916.17,2024-09-18 20:11:06,,,1.240916.17
68ed8426-d5c4-4137-81d0-3388353673db,Ralph Correct,https://play-lh.googleusercontent.com/a-/ALV-UjUE3GT6jpvbFRVKTxzF259dpmoQI4HkxEYMQ43Q3sKDIVhjE646,you have to numerous times to fix mistakes in output and then it will fix one mistake and then regenerate but not include the entire output. I have asked on one occasion to have a mistake corrected which it did but made more and then would only provide a short output where it corrected the mistake. it is time consuming to try and pieces of output together of corrected outputs. it is obvious that they designed it to just respond with the least amount of characters. I may cancel my subscription,1,62,1.240902.17,2024-09-20 20:11:35,,,1.240902.17
26b3532e-f754-4957-b78a-f936233092bd,Frank Steegmans,https://play-lh.googleusercontent.com/a-/ALV-UjV65AT7j5l-ixgNORofvj0uh-ws5uHjue7bUGvMQyAS8exTUTAuOQ,"This app is very disappointing. Claude.ai is my go to LLM. I've been using the web app on Android forever. It's fully featured and awesome. Why would I need a native app with a fraction of the functionality? It should be the opposite. The native app should have all the functionality and then some extra features that make use of it's native capabilities. For anyone interested, to install the web app: open claude.ai using chrome, click install when prompted.",1,369,1.240722.5,2024-07-23 09:45:14,,,1.240722.5
4fb106ac-b50f-4707-bb72-a698f8ee6a5a,Joseph Caraccio (Jo),https://play-lh.googleusercontent.com/a-/ALV-UjWPDwfrek_IdrpMVN4FKGGVMT9xNKcBIO0z35m7T2m2kONHr1A9eg,Android App: Sorta useless For the Webapp: The most useful AI tool I've tried to date. This app can actually create working programs first shot. I was able to make a couple of fairly complicated scripts with a few prompts. Was never able to get anything anywhere near this useful from chat gpt plus or gemini advanced and I'm only using the FREE version of Claude. The artifacts feature is amazing and so incredibly useful too. This is by far the best AI too yet.,5,201,1.240826.27,2024-08-27 21:28:03,,,1.240826.27
556c7efb-b8a1-4a64-9c2a-27d53035be47,Andy H.,https://play-lh.googleusercontent.com/a-/ALV-UjXpLZ3nOD0iKDRFZwGt6rMlKMxJKBKnboBYkzJtNvxyf7R6pFVJ,"I just updated Claude on an Android 11 phone and I keep getting this error message on the home screen: ""We hit a snag loading your projects. Mind giving it another try? Retry"" The thing of it is, I have no projects, and more properly it might say,""No projects found."" Additionally, at the bottom of the screen a white banner shows up saying, ""An error has occurred. Please try again."" None of these messages occurred prior to this most recent update. Please be advised.",5,162,1.240819.27,2024-08-23 02:58:55,,,1.240819.27
341d29fd-ac4f-46e2-bbdc-d4215254039d,Shubham Garg,https://play-lh.googleusercontent.com/a/ACg8ocJdOK2dcARsODgrIGQvmixkQOCnaD4bNVmCwLB5R8zRGp9AHD8=mo,"The product is impressive, and this app is highly useful. However, there are a few issues that need attention: 1. App Opening Issue: The app doesn't open successfully on the first attempt. It requires a second try to launch properly. 2. Connectivity Problem: Occasionally, when I send a message or query, a white banner appears stating ""try after some time"" due to poor connection, even when the internet is stable. I hope these issues can be addressed promptly by the development team.",4,133,1.240902.17,2024-09-04 09:09:19,,,1.240902.17
83c6d54a-c064-4ca4-9c0a-f38ff7ce08bd,Sushant Nair,https://play-lh.googleusercontent.com/a-/ALV-UjUq07q_4fV6NlXM6lq0PMscgRfF-SC12xWtBkfXQXWA_6gJkW9ejA,"You guys have a really wonderful product. Your model is superior and have been proven for your safety. But I reduce 2 stars because: 1) Too limited messages available per day, with ambiguity as to how many are left right from the start 2) Sometimes it gives a message like ""Undergoing maintenance for Claude"". Something of that sort. The thing is that I lose my precious message opportunity without getting anything at all in this case. Ensure that one chance is spent only with a valid response.",3,31,1.240923.17,2024-09-25 10:17:43,,,1.240923.17
a2d44f7a-f502-447c-b647-be500de33042,Mariusz Ł,https://play-lh.googleusercontent.com/a-/ALV-UjXZj2qHrrX02XcPwdWKbFfs4KokgNonOXF5UZRqgWiSVXRcX_ix,"for 24.09.2024 doesnt have editing functionalities for past messages. Also when it generated multiple files ""artifacts"" in one response i can only acces the last one. Compared to chatgpt on the mobile its mid experience. But on desktop has great project system and those shortcommings are not present there. Anthropic please update the app. I feel like not letting us edit messages is big miss.",3,12,1.240923.17,2024-09-24 08:52:29,,,1.240923.17
12c4564b-9539-4c37-a4bf-9dbdd3b17ac1,Richard,https://play-lh.googleusercontent.com/a-/ALV-UjX2M7VuoinsqwhI_aIqeDD4XbP_AgC4dODbN_9kbr_zyQa1Rktx,"The app is very basic compared to the web version and lacking many features and functionalities like: Regenerating new or cycling through Claude's multiple regenerated responses; Editing and cycling through multiple user prompts; Providing feedback on AI responses; Artifacts feature, Starred chats, and Prompt suggestions. Suggestions: Add all the missing features from the web version; Add voice chat for easier and faster interaction.",1,42,1.240909.27,2024-09-17 05:36:50,"Thanks for the feedback! We're constantly adding new features to the app. Artifacts are now available, and we'll work to add the rest of your suggestions soon. Thanks!",2024-09-18 14:52:27,1.240909.27
31868d55-69a0-41c3-aa9d-fa2a4c6aeba6,Dillon Stadt,https://play-lh.googleusercontent.com/a-/ALV-UjUBY9jux0APC40trQPurfXnLSWKFHEjK_If4yflbgRB6ewUwlHKrA,"Claude is cool. It doesn't feel entirely special to me, but I don't think i am the audience they intend to use their product, so that's fair. Bought premium and still ran out of credits midway through an 8 hour meeting. Had to scramble to find a different ai and cancelled the Claude subscription. 🤙🏼",4,8,1.240923.17,2024-09-24 00:38:30,,,1.240923.17
ac8d0e3f-f899-4fb2-89e2-e74415eecd1f,A K,https://play-lh.googleusercontent.com/a-/ALV-UjX1uMJT-cEgZE83L12D6zBMfXOycOUKJOVx1btTt-8_Z_aCT2aUqw,"I really like it, but it seems to be quite glitchy. Today it kept saying prompt is too long even if I just wrote Hello. The lack of character count limit was a pro of this app. As it can be annoying on other Ai models, since the Ai can read it all in half a second.",3,3,1.240923.17,2024-09-26 06:57:21,,,1.240923.17
56a6b78e-c3df-48bf-93c1-d48e1eaaa5dd,Leigh Spencer,https://play-lh.googleusercontent.com/a-/ALV-UjWo2ORrPvOm48fpl-xgFgXhw8h8ExIq87_11GRjXVi_Sh2YwqY,"As a professional writer with 30 years of experience, I've found Claude's proofreading, suggestions for alternative angles, and improvement ideas to be consistently insightful and helpful. After comparing several AI platforms, Claude stood out for its analytical capabilities and nuanced understanding of language. The paid version offers exceptional value, enhancing my writing process significantly. Very worthwhile.",5,24,1.240902.17,2024-09-06 05:52:58,,,1.240902.17
e78b6378-619a-4851-8fb4-b84b25ade078,Andrew Lowden,https://play-lh.googleusercontent.com/a-/ALV-UjVLt4VdwvveuHJJXzkcksQ3FJyG-7wsxr3_cDA5wFpn6bHUE4Im,"Easily best AI I've used. While I didn't know about conversation limits at first, my questions were a bit vague so Claude explained everything extremely clear and informative so I really feel I got more than the limit gave me. I tried a few other Ai apps before and after but was disappointed so had another extremely productive brief session again today... It will be easy to set half hour a day now Claude shows me how easy I can learn! Great job Anthopic! 👍",5,8,1.240909.27,2024-09-10 09:45:38,,,1.240909.27
0ec410dd-5921-4bca-abd9-9a0ae7327104,Sean Harvey,https://play-lh.googleusercontent.com/a-/ALV-UjV39iSuesus_AedLQzKFfO5aj5YJ1sXGBWAMZhhKvdKR3p2cJo,Outstanding. I wrote several screenplays and the prospect of turning them into novels was pretty scary. Claude makes the process easy and even makes suggestions as to where to take the story. Think of it as a really good co-writer.,4,8,1.240909.27,2024-09-18 17:16:47,,,1.240909.27
2b915fc2-0cd6-4346-9805-0671f5f8d25a,George Somebody,https://play-lh.googleusercontent.com/a-/ALV-UjVXSM_j8zHJ_8lVKwiWg34wYFgw5Eth2P4MXojHcTq4xqAIyvs,"Claude itself is very good. The app is frustrating, with a bewilderingly small subset of the browser functionality. You have to go to the browser to do anything with projects. Why? Additionally, given Claude's finite limit on the maximum size of a conversation, you must include some kind of word count or indication if the conversation size, as once you hit the limit, it's locked.",2,62,1.240819.27,2024-08-25 22:22:11,,,1.240819.27
b5a287e7-f28b-4c56-92f5-569bdf663bd4,Luke McEneny,https://play-lh.googleusercontent.com/a-/ALV-UjVWWJ262nPzkScFKd5iwJ-PtQxHDIiAIIfMwP63Xfq4gIsg0z_r,"It's overall a very good app and of course a very smart LLM. I would suggest, however, that they do something similar to ChatGPT in that after you use up all your free promts on the main model they switch you to an older and less intelligent model instead of fully blocking you out. This would keep the incentive to get premium while also balancing accessibility, and it's just a much smarter way to do it.",4,114,1.240729.17,2024-08-04 20:13:42,,,1.240729.17
41837dcf-874b-471f-8c2d-63927d7792ff,Kaustav Manna,https://play-lh.googleusercontent.com/a/ACg8ocIreW72-2erZPfw38JPPlQJSLeT9Rm_7K_9HQiPLQ4RYXgZb5E=mo,Every time maintanence how can a regular user use this. There are so many things to improve for more feedback you can contact me i can give many more feedbacks to improve it . With due respect the ceo of claude who is phd in physics has done great job he needs explore to build other domain of ai also.,1,5,1.240902.17,2024-09-06 10:14:15,,,1.240902.17
